file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
case_0035_20260629_094323_803_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000034_00,0.0,6.136875,wav,-46.08339589271173,-49.79535373564689,2.825008852730274,27.240346460288038
case_0051_20260629_094539_708_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000050_00,0.0,6.136875,wav,-46.66936838355049,-49.14680405819055,2.768630042360283,15.852366723210553
case_0024_20260629_094154_366_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000023_00,0.0,5.336875,wav,-48.15694858965356,-49.96371891813458,2.752097402360074,18.244093904979437
case_0048_20260629_094511_055_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000047_00,0.0,5.256875,wav,-43.70817861810836,-47.16124564526128,2.7152423187986976,24.308633778502173
case_0105_20260629_104735_128_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000105_00,0.0,5.736875,wav,-48.08567889808362,-50.924439363701396,2.689723941542726,12.410024561748681
case_0082_20260629_104104_640_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000081_00,0.0,3.336875,wav,-47.569876847866766,-50.972994431205414,2.6600252972106655,25.01810600697364
case_0032_20260629_094257_512_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000031_00,0.0,4.296875,wav,-44.80077216569767,-45.031558227539065,2.644371924693562,21.913474332545093
case_0026_20260629_094209_257_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000025_00,0.0,3.016875,wav,-48.997338705504966,-50.19643259048462,2.644371924693562,21.604766285980844
case_0031_20260629_094249_917_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000030_00,0.0,4.696875,wav,-44.02850315824468,-45.422798808028055,2.6443663868070266,28.75407207485427
case_0071_20260629_103939_498_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000070_00,0.0,5.576875,wav,-47.43661444332437,-51.47837936401367,2.6114580190596723,21.346736727058587
case_0100_20260629_104445_090_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000100_00,0.0,4.856875,wav,-45.21941309799383,-48.74435229179187,2.594470139071481,18.138051641839745
case_0090_20260629_104310_368_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000090_00,0.0,9.336875,wav,-42.89440159930407,-47.724644712968306,2.570113000892602,22.723309223862806
case_0010_20260629_093912_121_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000009_00,0.0,6.936875,wav,-47.819653953530256,-47.90987205505371,2.5700991022664814,17.766043984316408
case_0042_20260629_094428_367_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000041_00,0.0,3.896875,wav,-47.640625,-48.80313247858092,2.51218250727539,20.189806249180386
case_0011_20260629_093922_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000010_00,0.0,3.336875,wav,-49.86824593001497,-51.31361940171983,2.4584869537729745,29.106561849223024
case_0027_20260629_094215_159_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000026_00,0.0,4.856875,wav,-45.043491190843625,-46.96418040731679,2.4584869537729745,23.482181482638566
